datetime,la_temp_mean,la_temp_max,la_temp_min,la_rhum_mean,la_prcp_sum,la_wspd_mean,sf_temp_mean,sf_temp_max,sf_temp_min,sf_rhum_mean,sf_prcp_sum,sf_wspd_mean,sd_temp_mean,sd_temp_max,sd_temp_min,sd_rhum_mean,sd_prcp_sum,sd_wspd_mean,sj_temp_mean,sj_temp_max,sj_temp_min,sj_rhum_mean,sj_prcp_sum,sj_wspd_mean,fresno_temp_mean,fresno_temp_max,fresno_temp_min,fresno_rhum_mean,fresno_prcp_sum,fresno_wspd_mean,load_mw_mean,load_mw_max,load_mw_min,load_mw_std,year,month,day,day_of_week,day_name,day_of_year,is_weekend,target_load_mw_mean
2024-06-06,19.162499999999998,23.2,16.7,78.20833333333333,0.0,11.166666666666666,16.825,23.7,13.0,70.33333333333333,0.0,20.804166666666667,17.508333333333333,20.0,16.7,84.29166666666667,0.0,7.191666666666666,23.379166666666666,32.8,17.2,56.208333333333336,0.0,10.8375,32.375,40.0,25.0,41.541666666666664,0.0,9.954166666666667,28032.69444444444,34435.5,23169.75,3651.035832825596,2024,6,6,3,Thursday,158,0,28032.69444444444
2024-06-07,18.849999999999998,24.4,15.8,78.04166666666667,0.0,11.258333333333333,15.745833333333332,20.7,12.5,77.04166666666667,0.0,14.575000000000001,17.3125,18.9,16.0,84.625,0.0,7.916666666666667,19.991666666666667,27.8,13.9,62.75,0.0,13.179166666666667,31.083333333333332,40.0,23.0,30.958333333333332,0.0,12.383333333333333,26239.11111111111,30888.666666666668,22952.0,2533.955798535001,2024,6,7,4,Friday,159,0,26239.11111111111
2024-06-08,19.004166666666666,23.4,16.2,74.41666666666667,0.0,11.866666666666667,15.670833333333334,20.4,13.1,76.58333333333333,0.0,19.420833333333334,17.662499999999998,19.4,16.1,79.16666666666667,0.0,9.5,19.329166666666666,25.6,13.9,61.083333333333336,0.0,13.508333333333333,25.875,38.0,17.0,40.583333333333336,0.0,14.4625,22800.17013888889,27661.916666666668,19237.333333333332,2688.260293476543,2024,6,8,5,Saturday,160,1,22800.17013888889
2024-06-09,18.741666666666667,22.9,16.0,72.25,0.0,12.333333333333334,15.7125,18.7,13.5,71.5,0.0,18.8125,17.45,19.4,16.1,78.08333333333333,0.0,10.416666666666666,19.441666666666666,26.1,14.4,54.833333333333336,0.0,12.683333333333335,24.916666666666668,32.0,18.0,38.125,0.0,11.245833333333332,21239.0,27468.0,16651.083333333332,3477.395143884999,2024,6,9,6,Sunday,161,1,21239.0
2024-06-10,17.916666666666668,23.3,13.6,77.04166666666667,0.0,11.629166666666668,15.262500000000001,20.2,12.3,77.66666666666667,0.0,17.0125,17.9375,20.6,16.7,74.16666666666667,0.0,9.241666666666667,18.833333333333332,28.3,13.9,62.416666666666664,0.0,11.545833333333334,25.333333333333332,33.0,17.0,41.583333333333336,0.0,12.333333333333334,24635.729166666668,31481.583333333332,20267.75,3801.3204971286086,2024,6,10,0,Monday,162,0,24635.729166666668
2024-06-11,17.599999999999998,22.7,14.5,79.75,0.0,11.729166666666666,16.912499999999998,28.2,12.0,75.79166666666667,0.0,14.458333333333334,18.208333333333332,20.0,17.2,80.625,0.0,9.075000000000001,21.833333333333332,32.8,15.0,59.916666666666664,0.0,9.887500000000001,29.25,37.0,23.0,42.375,0.0,9.454166666666667,27106.71180555556,34358.083333333336,21969.5,4214.1768889590585,2024,6,11,1,Tuesday,163,0,27106.71180555556
2024-06-12,19.008333333333333,24.9,15.7,73.875,0.0,10.358333333333333,17.587500000000002,26.0,12.8,68.41666666666667,0.0,16.720833333333335,18.345833333333335,21.7,16.7,78.58333333333333,0.0,8.733333333333333,23.125,32.2,17.2,53.875,0.0,13.5375,31.458333333333332,38.0,24.0,42.833333333333336,0.0,9.924999999999999,27043.60069444444,33117.583333333336,23002.833333333332,3257.807025396336,2024,6,12,2,Wednesday,164,0,27043.60069444444
2024-06-13,18.133333333333333,23.3,14.2,76.875,0.0,13.2125,16.0125,20.6,13.0,71.5,0.0,13.191666666666668,18.5125,21.1,17.2,76.75,0.0,9.758333333333333,19.995833333333334,27.2,14.4,58.541666666666664,0.0,19.320833333333333,26.916666666666668,38.0,18.0,42.083333333333336,0.0,10.950000000000001,25194.090277777777,30720.916666666668,21980.5,2895.0010468985806,2024,6,13,3,Thursday,165,0,25194.090277777777
2024-06-14,18.4875,24.4,14.2,75.33333333333333,0.0,14.445833333333333,15.0375,20.1,12.5,70.125,0.0,17.670833333333334,19.133333333333336,21.1,17.2,72.29166666666667,0.0,11.033333333333333,18.333333333333332,27.2,12.2,59.333333333333336,0.0,13.450000000000001,25.833333333333332,35.0,17.0,38.166666666666664,0.0,14.0875,25087.434027777777,31383.833333333332,21308.083333333332,3462.2523241070267,2024,6,14,4,Friday,166,0,25087.434027777777
2024-06-15,19.708333333333332,26.1,13.8,70.58333333333333,0.0,11.341666666666667,16.283333333333335,21.9,12.5,64.375,0.0,23.245833333333334,18.829166666666666,22.8,16.7,78.75,0.0,8.108333333333333,19.599999999999998,27.2,13.9,46.958333333333336,0.0,12.512500000000001,25.416666666666668,35.0,17.0,26.666666666666668,0.0,17.166666666666668,23410.277777777777,29731.75,18791.083333333332,3585.544123846467,2024,6,15,5,Saturday,167,1,23410.277777777777
